input,output,num_outputs,secs
ssd,devnull,1,61.786
ssd,devnull,1,53.039
ssd,devnull,1,52.524
ssd,ssd,1,103.975
ssd,ssd,1,102.68
ssd,ssd,1,102.89
ssd,lustre1,1,162.292
ssd,lustre1,1,163.909
ssd,lustre1,1,163.763
ssd,lustre16,1,189.966
ssd,lustre16,1,188.767
ssd,lustre16,1,192.322
lustre1,devnull,1,52.974
lustre1,devnull,1,52.906
lustre1,devnull,1,52.794
lustre1,ssd,1,103.166
lustre1,ssd,1,103.067
lustre1,ssd,1,102.74
lustre1,lustre1,1,161.017
lustre1,lustre1,1,165.978
lustre1,lustre1,1,163.615
lustre1,lustre16,1,193.842
lustre1,lustre16,1,190.847
lustre1,lustre16,1,190.608
lustre16,devnull,1,53.622
lustre16,devnull,1,52.685
lustre16,devnull,1,53.033
lustre16,ssd,1,103.346
lustre16,ssd,1,103.296
lustre16,ssd,1,103.249
lustre16,lustre1,1,162.835
lustre16,lustre1,1,163.706
lustre16,lustre1,1,163.682
lustre16,lustre16,1,193.162
lustre16,lustre16,1,188.958
lustre16,lustre16,1,190.238
ssd,devnull,2,52.948
ssd,devnull,2,52.395
ssd,devnull,2,52.474
ssd,ssd,2,58.652
ssd,ssd,2,59.399
ssd,ssd,2,59.446
ssd,lustre1,2,86.672
ssd,lustre1,2,88.283
ssd,lustre1,2,88.929
ssd,lustre16,2,103.475
ssd,lustre16,2,105.418
ssd,lustre16,2,106.057
lustre1,devnull,2,53.29
lustre1,devnull,2,53.039
lustre1,devnull,2,53.09
lustre1,ssd,2,59.766
lustre1,ssd,2,59.088
lustre1,ssd,2,59.282
lustre1,lustre1,2,87.135
lustre1,lustre1,2,88.243
lustre1,lustre1,2,87.662
lustre1,lustre16,2,105.05
lustre1,lustre16,2,106.359
lustre1,lustre16,2,106.023
lustre16,devnull,2,53.443
lustre16,devnull,2,53.204
lustre16,devnull,2,53.192
lustre16,ssd,2,60.021
lustre16,ssd,2,59.543
lustre16,ssd,2,59.696
lustre16,lustre1,2,87.495
lustre16,lustre1,2,87.941
lustre16,lustre1,2,88.592
lustre16,lustre16,2,106.523
lustre16,lustre16,2,104.764
lustre16,lustre16,2,105.497
ssd,devnull,4,53.442
ssd,devnull,4,53.091
ssd,devnull,4,52.929
ssd,ssd,4,54.656
ssd,ssd,4,54.536
ssd,ssd,4,54.746
ssd,lustre1,4,59.046
ssd,lustre1,4,60.075
ssd,lustre1,4,59.338
ssd,lustre16,4,68.426
ssd,lustre16,4,67.501
ssd,lustre16,4,68.682
lustre1,devnull,4,53.131
lustre1,devnull,4,52.457
lustre1,devnull,4,52.615
lustre1,ssd,4,54.604
lustre1,ssd,4,54.744
lustre1,ssd,4,54.577
lustre1,lustre1,4,58.902
lustre1,lustre1,4,59.442
lustre1,lustre1,4,59.998
lustre1,lustre16,4,68.737
lustre1,lustre16,4,67.579
lustre1,lustre16,4,69.096
lustre16,devnull,4,53.337
lustre16,devnull,4,53.16
lustre16,devnull,4,52.891
lustre16,ssd,4,54.961
lustre16,ssd,4,54.959
lustre16,ssd,4,54.8
lustre16,lustre1,4,59.317
lustre16,lustre1,4,59.798
lustre16,lustre1,4,60.446
lustre16,lustre16,4,67.81
lustre16,lustre16,4,68.195
lustre16,lustre16,4,68.171
ssd,devnull,8,53.189
ssd,devnull,8,52.555
ssd,devnull,8,52.281
ssd,ssd,8,53.473
ssd,ssd,8,53.875
ssd,ssd,8,53.715
ssd,lustre1,8,55.847
ssd,lustre1,8,56.678
ssd,lustre1,8,57.041
ssd,lustre16,8,62.695
ssd,lustre16,8,63.229
ssd,lustre16,8,64.2
lustre1,devnull,8,53.163
lustre1,devnull,8,52.587
lustre1,devnull,8,52.8
lustre1,ssd,8,53.662
lustre1,ssd,8,53.555
lustre1,ssd,8,53.549
lustre1,lustre1,8,56.114
lustre1,lustre1,8,56.489
lustre1,lustre1,8,56.634
lustre1,lustre16,8,63.372
lustre1,lustre16,8,65.593
lustre1,lustre16,8,64.631
lustre16,devnull,8,53.206
lustre16,devnull,8,53.17
lustre16,devnull,8,52.951
lustre16,ssd,8,53.942
lustre16,ssd,8,54.233
lustre16,ssd,8,54.449
lustre16,lustre1,8,56.451
lustre16,lustre1,8,57.284
lustre16,lustre1,8,57.05
lustre16,lustre16,8,65.432
lustre16,lustre16,8,63.593
lustre16,lustre16,8,64.287
ssd,devnull,16,53.065
ssd,devnull,16,52.413
ssd,devnull,16,52.383
ssd,ssd,16,53.006
ssd,ssd,16,53.535
ssd,ssd,16,53.178
ssd,lustre1,16,56.1
ssd,lustre1,16,56.282
ssd,lustre1,16,57.82
ssd,lustre16,16,59.403
ssd,lustre16,16,61.685
ssd,lustre16,16,61.95
lustre1,devnull,16,53.102
lustre1,devnull,16,52.973
lustre1,devnull,16,52.747
lustre1,ssd,16,53.209
lustre1,ssd,16,53.617
lustre1,ssd,16,53.71
lustre1,lustre1,16,56.465
lustre1,lustre1,16,56.2
lustre1,lustre1,16,56.25
lustre1,lustre16,16,59.878
lustre1,lustre16,16,62.724
lustre1,lustre16,16,61.553
lustre16,devnull,16,53.74
lustre16,devnull,16,53.319
lustre16,devnull,16,53.079
lustre16,ssd,16,53.545
lustre16,ssd,16,53.624
lustre16,ssd,16,53.674
lustre16,lustre1,16,56.865
lustre16,lustre1,16,56.665
lustre16,lustre1,16,57.869
lustre16,lustre16,16,62.553
lustre16,lustre16,16,62.866
lustre16,lustre16,16,63.145
